PE,rank,method,data,start,end
downloadPE8,0,read,"{'input': []}",1566489759.983713,1566489759.983797
downloadPE8,0,preprocess,"{}",1566489759.9835892,1566489759.983686
downloadPE8,0,write,"{'output': 'output', 'size': 208, 'id': ('downloadPE8', 0, 'output', 1)}",1566489778.759101,1566489778.759583
downloadPE8,0,process,"{}",1566489759.986243,1566489778.75908
downloadPE8,0,read,"{'input': []}",1566489778.7596211,1566489778.75963
downloadPE8,0,terminate,"{}",1566489778.759666,1566489778.759862
downloadPE8,0,postprocess,"{}",1566489778.7596512,1566489778.7596622
WatchDirectory9,1,read,"{'input': [('input', ('downloadPE8', 0, 'output', 1))]}",1566489759.98664,1566489778.759818
WatchDirectory10,2,read,"{'input': [('input', ('downloadPE8', 0, 'output', 1))]}",1566489759.988518,1566489778.7600331
WatchDirectory10,2,preprocess,"{}",1566489759.9883862,1566489759.988495
WatchDirectory9,1,preprocess,"{}",1566489759.9864929,1566489759.986602
WatchDirectory10,2,write,"{'output': 'output', 'size': 86, 'id': ('WatchDirectory10', 2, 'output', 1)}",1566489778.762936,1566489778.7633631
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 1)}",1566489778.763092,1566489778.7636092
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 2)}",1566489778.7636638,1566489778.7636921
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 3)}",1566489778.763732,1566489778.763752
WatchDirectory9,1,write,"{'output': 'output', 'size': 88, 'id': ('WatchDirectory9', 1, 'output', 4)}",1566489778.763794,1566489778.763814
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 5)}",1566489778.7638452,1566489778.763864
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 6)}",1566489778.763913,1566489778.7639391
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 7)}",1566489778.763969,1566489778.763995
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 8)}",1566489778.7640262,1566489778.764045
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 9)}",1566489778.764079,1566489778.764103
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 10)}",1566489778.7641332,1566489778.7641568
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 11)}",1566489778.7641861,1566489778.764205
