PE,rank,method,data,start,end
data29,0,read,"{'input': []}",1566489791.357745,1566489791.357822
data29,0,preprocess,"{}",1566489791.357622,1566489791.357698
data29,0,write,"{'output': 'output_real', 'size': 1031, 'id': ('data29', 0, 'output_real', 1)}",1566489791.528391,1566489791.5286632
data29,0,write,"{'output': 'output_synt', 'size': 1031, 'id': ('data29', 0, 'output_synt', 1)}",1566489791.528703,1566489791.530664
PE_detrend17,5,read,"{'input': [('input', ('data29', 0, 'output_real', 1))]}",1566489791.3739,1566489791.540522
PE_detrend23,11,read,"{'input': [('input', ('data29', 0, 'output_synt', 1))]}",1566489791.398588,1566489791.5441449
PE_detrend17,5,preprocess,"{}",1566489791.373779,1566489791.373866
PE_detrend23,11,preprocess,"{}",1566489791.398449,1566489791.39854
PE_detrend23,11,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend23', 11, 'output', 1)}",1566489791.560448,1566489791.5607328
PE_detrend23,11,process,"{}",1566489791.544959,1566489791.56044
PE_detrend17,5,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend17', 5, 'output', 1)}",1566489791.559909,1566489791.5607429
PE_detrend17,5,process,"{}",1566489791.543453,1566489791.559895
PE_taper18,6,read,"{'input': [('input', ('PE_detrend17', 5, 'output', 1))]}",1566489791.380685,1566489791.5796149
PE_taper18,6,preprocess,"{}",1566489791.380204,1566489791.380623
PE_taper18,6,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper18', 6, 'output', 1)}",1566489791.587132,1566489791.588993
PE_taper18,6,process,"{}",1566489791.580163,1566489791.5871239
PE_taper24,12,read,"{'input': [('input', ('PE_detrend23', 11, 'output', 1))]}",1566489791.404139,1566489791.5869691
PE_taper24,12,preprocess,"{}",1566489791.404002,1566489791.404105
PE_taper24,12,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper24', 12, 'output', 1)}",1566489791.596951,1566489791.598586
PE_taper24,12,process,"{}",1566489791.5882502,1566489791.5969431
PE_remove_response19,7,read,"{'input': [('input', ('PE_taper18', 6, 'output', 1))]}",1566489791.384485,1566489791.603863
PE_remove_response19,7,preprocess,"{}",1566489791.384379,1566489791.384455
PE_pre_filter25,13,read,"{'input': [('input', ('PE_taper24', 12, 'output', 1))]}",1566489791.405968,1566489791.616389
PE_pre_filter25,13,preprocess,"{}",1566489791.405731,1566489791.405927
PE_pre_filter25,13,write,"{'output': 'output', 'size': 1015, 'id': ('PE_pre_filter25', 13, 'output', 1)}",1566489791.634284,1566489791.636031
PE_pre_filter25,13,process,"{}",1566489791.621292,1566489791.63427
PE_filter_lowpass26,14,read,"{'input': [('input', ('PE_pre_filter25', 13, 'output', 1))]}",1566489791.413256,1566489791.649303
PE_filter_lowpass26,14,preprocess,"{}",1566489791.4131331,1566489791.413224
PE_filter_lowpass26,14,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_lowpass26', 14, 'output', 1)}",1566489791.662066,1566489791.66397
PE_filter_lowpass26,14,process,"{}",1566489791.6501849,1566489791.662039
PE_filter_highpass27,15,read,"{'input': [('input', ('PE_filter_lowpass26', 14, 'output', 1))]}",1566489791.418419,1566489791.677272
PE_filter_highpass27,15,preprocess,"{}",1566489791.418297,1566489791.4183848
PE_filter_highpass27,15,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_highpass27', 15, 'output', 1)}",1566489791.690037,1566489791.6918678
PE_filter_highpass27,15,process,"{}",1566489791.678143,1566489791.6900291
PE_filter_bandpass28,16,read,"{'input': [('input', ('PE_filter_highpass27', 15, 'output', 1))]}",1566489791.421986,1566489791.704984
PE_filter_bandpass28,16,preprocess,"{}",1566489791.421868,1566489791.421953
PE_filter_bandpass28,16,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_bandpass28', 16, 'output', 1)}",1566489791.718555,1566489791.719871
PE_filter_bandpass28,16,process,"{}",1566489791.705858,1566489791.718538
RotationPE31,2,read,"{'input': [('input', ('PE_filter_bandpass28', 16, 'output', 1))]}",1566489791.362823,1566489791.733761
RotationPE31,2,preprocess,"{}",1566489791.362705,1566489791.362793
PE_remove_response19,7,write,"{'output': 'output', 'size': 1015, 'id': ('PE_remove_response19', 7, 'output', 1)}",1566489791.745766,1566489791.7464309
PE_remove_response19,7,process,"{}",1566489791.605454,1566489791.745756
RotationPE31,2,write,"{'output': 'output', 'size': 1015, 'id': ('RotationPE31', 2, 'output', 1)}",1566489791.745374,1566489791.747162
RotationPE31,2,process,"{}",1566489791.734717,1566489791.745365
StoreStream33,4,read,"{'input': [('input', ('RotationPE31', 2, 'output', 1))]}",1566489791.370368,1566489791.762841
StoreStream33,4,preprocess,"{}",1566489791.37024,1566489791.370326
PE_filter_lowpass20,8,read,"{'input': [('input', ('PE_remove_response19', 7, 'output', 1))]}",1566489791.38707,1566489791.762817
PE_filter_lowpass20,8,preprocess,"{}",1566489791.3869598,1566489791.387038
PE_filter_lowpass20,8,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_lowpass20', 8, 'output', 1)}",1566489791.7789178,1566489791.782778
PE_filter_lowpass20,8,process,"{}",1566489791.764757,1566489791.778904
PE_filter_highpass21,9,read,"{'input': [('input', ('PE_filter_lowpass20', 8, 'output', 1))]}",1566489791.389965,1566489791.797624
PE_filter_highpass21,9,preprocess,"{}",1566489791.389838,1566489791.389902
data29,0,write,"{'output': 'output_real', 'size': 1031, 'id': ('data29', 0, 'output_real', 2)}",1566489791.812178,1566489791.812261
data29,0,write,"{'output': 'output_synt', 'size': 1031, 'id': ('data29', 0, 'output_synt', 2)}",1566489791.812284,1566489791.812331
PE_filter_highpass21,9,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_highpass21', 9, 'output', 1)}",1566489791.811681,1566489791.8131042
PE_filter_highpass21,9,process,"{}",1566489791.798644,1566489791.8116732
PE_detrend17,5,read,"{'input': [('input', ('data29', 0, 'output_real', 2))]}",1566489791.5607731,1566489791.820297
PE_detrend23,11,read,"{'input': [('input', ('data29', 0, 'output_synt', 2))]}",1566489791.5607638,1566489791.8279989
PE_detrend17,5,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend17', 5, 'output', 2)}",1566489791.83151,1566489791.831607
PE_detrend17,5,process,"{}",1566489791.8203478,1566489791.831501
PE_filter_bandpass22,10,read,"{'input': [('input', ('PE_filter_highpass21', 9, 'output', 1))]}",1566489791.392676,1566489791.833015
PE_taper18,6,read,"{'input': [('input', ('PE_detrend17', 5, 'output', 2))]}",1566489791.5890229,1566489791.8379982
PE_filter_bandpass22,10,preprocess,"{}",1566489791.392521,1566489791.39261
PE_taper18,6,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper18', 6, 'output', 2)}",1566489791.838892,1566489791.838961
PE_taper18,6,process,"{}",1566489791.838044,1566489791.8388858
PE_detrend23,11,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend23', 11, 'output', 2)}",1566489791.84273,1566489791.842828
PE_detrend23,11,process,"{}",1566489791.8281019,1566489791.842721
PE_taper24,12,read,"{'input': [('input', ('PE_detrend23', 11, 'output', 2))]}",1566489791.598624,1566489791.8491762
PE_taper24,12,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper24', 12, 'output', 2)}",1566489791.8500412,1566489791.850116
PE_taper24,12,process,"{}",1566489791.8492239,1566489791.850035
PE_filter_bandpass22,10,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_bandpass22', 10, 'output', 1)}",1566489791.850393,1566489791.85296
PE_filter_bandpass22,10,process,"{}",1566489791.833921,1566489791.8503628
PE_pre_filter25,13,read,"{'input': [('input', ('PE_taper24', 12, 'output', 2))]}",1566489791.636066,1566489791.857594
PE_remove_response19,7,read,"{'input': [('input', ('PE_taper18', 6, 'output', 2))]}",1566489791.746471,1566489791.8557599
PE_pre_filter25,13,write,"{'output': 'output', 'size': 1015, 'id': ('PE_pre_filter25', 13, 'output', 2)}",1566489791.859434,1566489791.859534
