PE,rank,method,data,start,end
streamProducerReal0,0,read,"{'input': []}",1566489799.9934862,1566489799.993597
streamProducerReal0,0,preprocess,"{}",1566489799.993372,1566489799.9934669
streamProducerSynth2,2,read,"{'input': []}",1566489799.9983401,1566489799.998452
streamProducerSynth2,2,preprocess,"{}",1566489799.998199,1566489799.998302
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 1)}",1566489800.025204,1566489800.025492
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 1)}",1566489800.026764,1566489800.027105
NormPE1,1,read,"{'input': [('input', ('streamProducerReal0', 0, 'output', 1))]}",1566489799.9957771,1566489800.030803
NormPE1,1,preprocess,"{}",1566489799.9956858,1566489799.995767
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 2)}",1566489800.0327308,1566489800.032792
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 2)}",1566489800.032869,1566489800.032922
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 3)}",1566489800.037729,1566489800.037763
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 3)}",1566489800.038165,1566489800.038217
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 4)}",1566489800.04242,1566489800.042455
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 4)}",1566489800.043091,1566489800.043139
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 5)}",1566489800.046939,1566489800.046973
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 5)}",1566489800.0478022,1566489800.0478442
NormPE1,1,write,"{'output': 'output_mean', 'size': 29394, 'id': ('NormPE1', 1, 'output_mean', 1)}",1566489800.048901,1566489800.0493271
NormPE1,1,write,"{'output': 'output_max', 'size': 29393, 'id': ('NormPE1', 1, 'output_max', 1)}",1566489800.049361,1566489800.050198
NormPE1,1,read,"{'input': [('input', ('streamProducerSynth2', 2, 'output', 1))]}",1566489800.050231,1566489800.050693
NormPE1,1,process,"{}",1566489800.0317261,1566489800.0502248
NormPE1,1,write,"{'output': 'output_mean', 'size': 29443, 'id': ('NormPE1', 1, 'output_mean', 2)}",1566489800.0657642,1566489800.065829
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 6)}",1566489800.050978,1566489800.051022
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 7)}",1566489800.055572,1566489800.055615
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 8)}",1566489800.060239,1566489800.060284
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 9)}",1566489800.065027,1566489800.065069
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 10)}",1566489800.07553,1566489800.075579
NormPE1,1,write,"{'output': 'output_max', 'size': 29442, 'id': ('NormPE1', 1, 'output_max', 2)}",1566489800.065851,1566489800.067568
NormPE1,1,read,"{'input': [('input', ('streamProducerSynth2', 2, 'output', 2))]}",1566489800.067608,1566489800.068164
NormPE1,1,process,"{}",1566489800.050723,1566489800.067602
NormPE1,1,write,"{'output': 'output_mean', 'size': 29443, 'id': ('NormPE1', 1, 'output_mean', 3)}",1566489800.087949,1566489800.088029
NormPE1,1,write,"{'output': 'output_max', 'size': 29442, 'id': ('NormPE1', 1, 'output_max', 3)}",1566489800.088054,1566489800.088094
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 1))]}",1566489800.001302,1566489800.055176
PeakGroundMotion3,3,preprocess,"{}",1566489800.00119,1566489800.001287
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 11)}",1566489800.082579,1566489800.082627
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 12)}",1566489800.0932548,1566489800.093298
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 13)}",1566489800.09936,1566489800.099411
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion3', 3, 'output', 1)}",1566489800.089602,1566489800.092021
PeakGroundMotion3,3,process,"{}",1566489800.056237,1566489800.089586
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 2))]}",1566489800.092067,1566489800.0926368
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1274, 'id': ('PeakGroundMotion3', 3, 'output', 2)}",1566489800.118523,1566489800.1203341
PeakGroundMotion3,3,process,"{}",1566489800.0926578,1566489800.118502
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 3))]}",1566489800.1203809,1566489800.120843
